Name,ra,dec,DM,z,ee_a,ee_b,ee_theta,fluence,fluence_err,RM,RM_err,repeater,telescope,refs,P(O|x)
FRB20220501C,352.379150391,-32.490715027,449.5,0.381,0.42,0.42,66.8,32.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20220506D,318.044833,72.827278,396.93,0.3004,1.11,0.81,90.0,16.0,"",-32.4,3.6,FALSE,DSA,"Law2023,Sherman23",
FRB20220509G,282.67,70.243833,269.5,0.0894,2.2,1.5,90.0,6.3,"",-109.0,1.2,FALSE,DSA,"Sharma2023,Connor2023",
FRB20220610A,351.073272705,-33.513851166,1458.1,1.015,0.445,0.429,-53.56,47.0,2.0,215.0,2.0,FALSE,ASKAP,"Ryder2023,Shannon2024",
FRB20220725A,353.315216064,-35.990257263,290.4,0.1926,0.46,0.44,-56.11,72.0,6.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20220726A,73.9455417,69.929528,686.55,0.3619,0.8,0.6,90.0,"","",499.8,7.2,FALSE,DSA,"Sherman23,Sharma24",
FRB20220801A,"","",412.6,"","","","","","","","",FALSE,DSA,Sherman23,""
FRB20220825A,311.98145,72.584969,651.2,0.2414,0.78,0.69,90.0,"","",750.2,6.7,FALSE,DSA,"Sherman23,Sharma24",
FRB20220831A,338.695542,70.538444,1146.25,0.262,1.03,0.67,90.0,"","",772.1,7.2,FALSE,DSA,"Sherman23,Connor24",
FRB20220914A,282.056792,73.336914,631.05,0.1139,0.93,0.73,90.0,2.8,"","","",FALSE,DSA,"Sharma2023,Connor2023",
FRB20220918A,17.592142105,-70.811378479,656.8,0.491,0.46,0.43,-20.4,55.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20220920A,240.257083,70.9188,315.0,0.1582,1.02,0.6,90.0,4.6,"",-830.3,8.3,FALSE,DSA,"Law2023,Sherman23",
FRB20220926A,"","",441.53,"","","","","","","","",FALSE,DSA,Sherman23,""
FRB20221002A,"","",322.5,"","","","","","","","",FALSE,DSA,Sherman23,""
FRB20221012A,280.798708,70.524208,442.2,0.2847,1.12,0.74,90.0,4.3,"",165.7,17.7,FALSE,DSA,"Law2023,Sherman23",
FRB20221027A,130.872,72.100944,452.5,0.5422,0.8,0.7,90.0,"","","","",FALSE,DSA,"Sherman23,Sharma24",
FRB20221029A,141.963417,72.452317,1391.05,0.975,0.8,0.7,90.0,"","",-155.8,9.7,FALSE,DSA,"Sherman23,Sharma24",
FRB20221101A,76.0613333,72.446525,1476.5,"",1.6,1.2,90.0,"","",4670.4,10.8,FALSE,DSA,Sherman23,""
FRB20221101B,342.215792,70.6815,490.7,0.2395,1.2,0.9,90.0,"","",-32.2,9.1,FALSE,DSA,"Sherman23,Sharma24",
FRB20221106A,56.704807281,-25.569810867,343.8,0.2044,0.598,0.53,-58.11,80.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20221113A,71.411,70.307389,411.4,0.2505,1.4,0.9,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20221116A,21.2109583,72.65375,640.6,0.2764,1.0,1.0,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20221203A,315.129542,72.037561,602.25,0.51,0.56,0.46,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20221219A,257.629792,71.626842,706.708,0.553,1.54,0.93,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230124A,231.917,70.968086,590.0,0.0939,1.4,0.9,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230216A,156.472167,3.436825,828.289,0.531,1.2,0.7,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230307A,177.781583,71.695131,610.15,0.2706,0.2,0.2,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230501A,340.027083,70.922139,533.7,0.3015,0.9,0.8,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230521B,351.036,71.138031,1345.65,1.354,1.2,0.6,90.0,"","",-21.0,13.67,FALSE,DSA,Connor24,""
FRB20230526A,22.232616425,-52.717330933,361.4,0.157,0.43,0.42,-65.31,34.0,1.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20230626A,235.629583,71.133547,451.2,0.327,1.8,1.4,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230628A,166.786708,72.281844,345.15,0.127,1.4,1.0,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230708A,303.115539551,-55.356269836,411.51,0.105,0.467,0.433,-63.24,111.0,4.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20230712A,167.358529,72.557783,586.96,0.4525,1.4,0.9,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20230718A,128.161929,-40.451932,477.0,0.035,0.61,0.596,-20.36,14.0,1.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20230731A,174.601455688,-56.799060822,701.1,"",0.563,0.545,-42.58,25.0,1.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20230814A,335.97475,73.025906,696.35,"",1.7,0.5,90.0,"","","","",TRUE,DSA,Connor24,""
FRB20230902A,52.139774323,-47.333503723,440.1,0.3619,0.693,0.554,-72.27,23.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20231120A,143.983958,73.284667,438.9,0.0368,1.1,1.0,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20231123B,242.538167,70.785056,396.7,0.2621,1.2,0.6,90.0,"","","","",FALSE,DSA,Sharma24,""
FRB20231220A,123.908708,73.659917,491.2,0.3355,0.7,0.5,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20231226A,155.363739014,6.11026001,329.9,0.1569,0.511,0.479,-13.19,78.0,3.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20240119A,224.467167,71.611758,483.1,0.37,1.3,0.7,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20240123A,68.2625,71.945283,1462.0,0.968,1.3,0.8,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20240201A,149.905578613,14.088025093,374.5,0.042729,0.52,0.46,-30.04,47.0,3.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20240208A,159.229614258,0.954430521,260.2,"",1.59,0.55,-6.54,37.0,3.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20240210A,8.779575348,-28.27075386,283.73,0.023686,0.547,0.488,-54.14,26.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20240213A,166.168292,74.075389,357.4,0.1185,1.0,0.6,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20240215A,268.44125,70.232361,549.5,0.21,0.8,0.5,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20240229A,169.983542,70.676222,491.15,0.287,0.8,0.6,90.0,"","","","",FALSE,DSA,Connor24,""
FRB20240304A,136.330825806,-16.166629791,652.6,0.2423,0.81,0.56,-57.04,34.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20240310A,17.621870041,-44.439422607,601.8,0.127,0.588,0.548,-48.6,35.0,2.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20240318A,150.393157959,37.616355896,256.4,"",0.82,0.5,-19.3,15.0,1.0,"","",FALSE,ASKAP,Shannon2024,""
FRB20221209A,297.369563,59.406184,792.169,"",12.9096,2.0016,7.033855,489.61,50.01,"","",FALSE,CHIME,Leung+2025,0.70897
FRB20230203A,151.661594,35.694096,417.302,0.1464,17.9784,2.0016,10.148386,173.03,17.4,"","",FALSE,CHIME,Leung+2025,0.938327
FRB20230222A,106.960358,11.224524,708.442,0.1223,21.366,2.0016,7.575682,129.17,12.97,"","",FALSE,CHIME,Leung+2025,0.985382
FRB20230222B,238.739123,30.898695,188.034,0.11,11.4984,2.0016,9.886957,37.55,3.8,"","",FALSE,CHIME,Leung+2025,0.980619
FRB20230311A,91.109662,55.945953,364.341217,0.1918,15.7392,2.0016,9.675111,12.18,1.29,"","",FALSE,CHIME,Leung+2025,0.773594
FRB20230314A,310.28879,6.955675,429.041,"",11.3076,2.0016,7.327116,139.39,13.97,"","",FALSE,CHIME,Leung+2025,0.615226
FRB20230410A,214.777446,25.457945,643.359,0.1684,21.6576,2.0016,9.191534,12.77,1.39,"","",FALSE,CHIME,Leung+2025,0.717361
FRB20230411A,280.057377,47.495064,551.162,"",11.8944,2.0016,9.456615,16.73,1.7,"","",FALSE,CHIME,Leung+2025,0.031865
FRB20230414A,304.47601,84.899695,501.02,"",14.2884,2.0016,6.007379,11.8,1.21,"","",FALSE,CHIME,Leung+2025,0.011763
FRB20230414B,11.105806,51.813676,433.893585,"",13.1112,2.0016,10.416676,7.6,0.8,"","",FALSE,CHIME,Leung+2025,0.000608
FRB20230616A,184.614579,28.356649,918.334,0.4485,16.992,2.0016,8.603507,83.81,8.65,"","",FALSE,CHIME,Leung+2025,0.230691
FRB20230702A,132.124693,26.389497,598.878,0.3658,15.264,2.0016,8.421692,52.6,5.4,"","",FALSE,CHIME,Leung+2025,0.53839
FRB20230703A,184.624449,48.729933,290.745,0.1184,20.1348,2.0016,9.727547,8.45,0.93,"","",FALSE,CHIME,Leung+2025,0.973473
FRB20230720A,4.454435,21.271245,532.965,"",13.6548,2.0016,8.261756,433.2,43.46,"","",FALSE,CHIME,Leung+2025,0.37531
FRB20230730A,54.664564,33.159296,312.581,0.2115,12.2148,2.0016,9.909355,37.07,3.82,"","",FALSE,CHIME,Leung+2025,0.951931
FRB20230802A,339.2845,30.788721,305.303,"",13.7448,2.0016,9.047058,69.3,7.02,"","",FALSE,CHIME,Leung+2025,0.382216
FRB20230828A,22.287034,34.429645,377.281,0.6268,12.4848,2.0016,10.180043,338.89,34.03,"","",FALSE,CHIME,Leung+2025,1.1e-05
FRB20230911A,49.647969,2.667129,351.401245,"",11.3256,2.0016,6.671559,773.55,77.42,"","",FALSE,CHIME,Leung+2025,0.687366
FRB20230913A,131.903753,87.995112,251.116425,"",12.186,2.0016,-6.166066,92.04,9.22,"","",FALSE,CHIME,Leung+2025,4.3e-05
FRB20230918A,161.050726,61.120861,365.95871,0.06,11.6172,2.0016,8.435019,58.22,5.85,"","",FALSE,CHIME,Leung+2025,0.185319
